ID_Cliente,Evasao,Genero,Maior65,Parceiro,Dependentes,MesesContrato,ServicoTelefonico,MultiplasLinhas,ServicoInternet,AdicionalSeguranca,AdicionalBackup,AdicionalProtecao,AdicionalSuporte,ServicoTVCabo,ServicoFilme,TipoContrato,FaturaOnline,FormaPagamento,CobrancaDiaria,CobrancaMensal,CobrancaTotal
6385-MVEPL,,Masculino,Não,Sim,Sim,64,Sim,Não,DSL,Sim,Não,Sim,Sim,Sim,Não,Bianual,Não,Cheque por correio,2.31,69.25,4447.75
6463-CCMII,,Masculino,Não,Não,Não,34,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque por correio,0.66,19.7,675.6
6507-MIKMI,,Feminino,Não,Não,Não,41,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.54,106.3,4443.45
6508-TFQQW,,Masculino,Sim,Sim,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,2.34,70.3,70.3
6519-JNHOZ,,Feminino,Não,Sim,Não,48,Sim,Não,DSL,Não,Sim,Sim,Não,Não,Sim,Anual,Sim,Cheque eletrônico,2.19,65.65,3094.65
6532-YOHZY,,Masculino,Não,Sim,Sim,45,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Transferência bancária (automâtico),3.66,109.75,4900.65
6547-ETRKK,,Feminino,Não,Sim,Não,53,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Transferência bancária (automâtico),0.69,20.8,1021.8
6554-ONRKJ,,Masculino,Não,Não,Sim,39,Não,Sem serviço telefônico,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automâtico),1.83,54.85,2191.7
6648-RXFRG,,Masculino,Não,Não,Não,7,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,2.89,86.8,620.35
6724-JVHVX,,Masculino,Não,Não,Sim,9,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque por correio,0.68,20.4,184.1
6736-DRVEW,,Feminino,Sim,Não,Não,33,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.68,110.45,3655.45
6750-FCEKS,,Masculino,Não,Não,Não,2,Não,Sem serviço telefônico,DSL,Não,Não,Não,Sim,Não,Não,Mensal,Não,Transferência bancária (automâtico),1.0,29.85,75.6
6807-HWZBE,,Masculino,Não,Sim,Não,2,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,3.05,91.45,171.45
6820-THWHI,,Feminino,Sim,Sim,Não,72,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Transferência bancária (automâtico),0.81,24.3,1778.7
6831-CJPWG,,Masculino,Não,Sim,Não,54,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,3.65,109.55,6118.95
6840-YEOYJ,,Masculino,Não,Não,Sim,53,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Não,Cartão de crédito (automático),2.1,62.85,3419.5
6895-ZJKIO,,Feminino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Transferência bancária (automâtico),0.66,19.9,19.9
7026-TPCZX,,Masculino,Não,Sim,Sim,69,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito (automático),3.54,106.35,7261.75
7069-PURBI,,Feminino,Não,Sim,Não,14,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Cheque por correio,0.68,20.4,292.4
7115-SIPGA,,Masculino,Não,Não,Sim,69,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bianual,Sim,Cartão de crédito (automático),2.65,79.45,5502.55
7117-EVURU,,Masculino,Não,Não,Não,39,Não,Sem serviço telefônico,DSL,Sim,Sim,Não,Sim,Sim,Não,Mensal,Sim,Cartão de crédito (automático),1.63,48.95,1880.85
7132-EASOG,,Masculino,Não,Sim,Sim,7,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cheque por correio,0.69,20.65,150.0
7165-CNJFG,,Masculino,Sim,Sim,Não,35,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,3.15,94.55,3365.4
7278-VXADF,,Masculino,Sim,Sim,Não,16,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de crédito (automático),2.84,85.05,1391.15
7295-EXSMO,,Feminino,Sim,Não,Não,3,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mensal,Não,Cheque por correio,2.5,75.05,202.9
7305-PAPOZ,,Feminino,Sim,Sim,Não,31,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,2.83,84.85,2633.4
7340-EBEMV,,Masculino,Não,Sim,Não,29,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Transferência bancária (automâtico),2.67,80.15,2265.25
7372-IVBIM,,Masculino,Não,Sim,Sim,4,Sim,Não,DSL,Não,Não,Não,Sim,Não,Sim,Mensal,Não,Cartão de crédito (automático),2.05,61.45,229.55
7432-XWSQO,,Feminino,Não,Sim,Não,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cheque eletrônico,3.0,90.1,6310.9
7455-SDALK,,Masculino,Não,Sim,Sim,29,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,2.36,70.75,1974.8
7491-UYKGO,,Feminino,Sim,Não,Não,53,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Não,Sim,Anual,Sim,Cheque por correio,3.22,96.75,5206.55
7586-NHQEA,,Feminino,Não,Não,Não,10,Não,Sem serviço telefônico,DSL,Não,Não,Não,Sim,Não,Não,Bianual,Sim,Cheque por correio,0.99,29.6,299.05
7606-GWMKE,,Masculino,Não,Não,Sim,21,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque por correio,0.82,24.7,467.15
7637-IKUJQ,,Masculino,Não,Sim,Não,57,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Cheque eletrônico,3.44,103.05,5925.75
7662-TWISV,,Feminino,Não,Não,Sim,51,Não,Sem serviço telefônico,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automâtico),2.0,60.15,3077.0
7709-FQREH,,Feminino,Não,Sim,Não,18,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque eletrônico,2.96,88.85,1594.75
7766-CVTAF,,Masculino,Não,Sim,Sim,43,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Cheque por correio,0.81,24.25,1077.95
7808-NBWYW,,Feminino,Sim,Sim,Não,3,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,2.68,80.4,224.05
7846-AXWOM,,Feminino,Não,Sim,Sim,69,Não,Sem serviço telefônico,DSL,Sim,Não,Sim,Não,Não,Sim,Bianual,Sim,Cartão de crédito (automático),1.46,43.95,2960.1
7968-BCBQB,,Feminino,Não,Não,Não,3,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Não,Transferência bancária (automâtico),2.48,74.4,215.8
7979-YHUFG,,Masculino,Não,Não,Não,8,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por correio,2.34,70.1,551.35
8029-GAHZZ,,Feminino,Sim,Sim,Não,71,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Transferência bancária (automâtico),3.66,109.7,7904.25
8212-FSQIV,,Masculino,Não,Não,Sim,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque por correio,0.68,20.25,20.25
8256-ERHVS,,Masculino,Não,Não,Não,9,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Sim,Mensal,Sim,Transferência bancária (automâtico),2.28,68.25,576.95
8256-TWSNM,,Masculino,Não,Sim,Sim,6,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,2.33,69.8,377.85
8289-DXCFQ,,Feminino,Não,Não,Não,1,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por correio,1.67,50.1,50.1
8353-CFNVI,,Masculino,Não,Não,Não,43,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,3.33,100.0,4211.55
8386-OSYMC,,Feminino,Não,Sim,Sim,58,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cartão de crédito (automático),3.51,105.2,6225.4
8530-KXSOX,,Masculino,Não,Sim,Não,68,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Transferência bancária (automâtico),0.84,25.25,1728.2
8649-VYTUC,,Masculino,Não,Não,Não,24,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.01,90.35,2238.5
8732-BBLMG,,Feminino,Não,Não,Não,5,Não,Sem serviço telefônico,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),1.7,50.95,229.4
8754-GZCEH,,Feminino,Não,Sim,Não,25,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.17,95.15,2395.7
8774-QWEBD,,Masculino,Não,Sim,Sim,40,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Transferência bancária (automâtico),0.68,20.4,745.3
8793-IZZRV,,Masculino,Não,Não,Não,4,Não,Sem serviço telefônico,DSL,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,1.48,44.55,174.3
8920-VTVET,,Feminino,Não,Não,Não,68,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Transferência bancária (automâtico),0.67,20.05,1386.9
8933-FSHGW,,Feminino,Sim,Sim,Não,25,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,2.31,69.3,1813.1
8937-FVBIE,,Masculino,Não,Sim,Não,67,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Não,Sim,Anual,Sim,Cartão de crédito (automático),3.02,90.6,6056.15
8939-ORHIW,,Masculino,Não,Sim,Sim,34,Não,Sem serviço telefônico,DSL,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,Cheque eletrônico,1.5,44.85,1442.6
8954-HKVWG,,Feminino,Não,Sim,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),1.49,44.6,80.55
8977-NIXDF,,Masculino,Não,Sim,Sim,9,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Cheque por correio,0.65,19.6,197.4
9078-GDRPJ,,Feminino,Não,Sim,Sim,63,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,3.35,100.55,6215.35
9162-MVWXH,,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por correio,1.52,45.7,45.7
9182-EFTQG,,Feminino,Não,Sim,Sim,41,Sim,Sim,DSL,Sim,Sim,Sim,Não,Sim,Não,Anual,Sim,Cartão de crédito (automático),2.61,78.35,3211.2
9218-TUMIQ,,Feminino,Não,Sim,Sim,62,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.34,100.15,6283.3
9228-KNQVN,,Feminino,Não,Sim,Não,59,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Não,Sim,Anual,Sim,Cartão de crédito (automático),3.57,107.0,6152.3
9239-YGYBO,,Feminino,Não,Sim,Sim,13,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Não,Transferência bancária (automâtico),1.8,54.15,701.05
9243-TUYBL,,Masculino,Sim,Sim,Não,28,Sim,Sim,Fibra óptica,Não,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,3.53,105.8,2998.0
9364-HVJRK,,Masculino,Não,Não,Não,8,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por correio,1.5,45.15,438.4
9366-PGOCJ,,Masculino,Não,Não,Não,57,Sim,Não,DSL,Não,Sim,Não,Sim,Não,Não,Anual,Sim,Cheque por correio,1.82,54.65,3134.7
9371-CLMGW,,Feminino,Não,Não,Não,6,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,2.98,89.3,577.6
9395-RFMFG,,Masculino,Não,Sim,Sim,8,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,1.81,54.4,475.1
9456-ETVCM,,Masculino,Não,Não,Não,12,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,3.15,94.55,1173.55
9477-UIFFV,,Masculino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque por correio,0.68,20.3,20.3
9499-EBKUR,,Masculino,Não,Não,Não,72,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Bianual,Não,Cartão de crédito (automático),2.81,84.3,5997.1
9525-DKUVP,,Feminino,Sim,Sim,Não,72,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito (automático),3.69,110.8,7882.25
9526-MJRPO,,Feminino,Sim,Sim,Não,27,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Sim,Sim,Mensal,Sim,Transferência bancária (automâtico),3.48,104.3,2867.75
9617-SHSHO,,Feminino,Não,Não,Não,53,Sim,Não,Fibra óptica,Não,Sim,Sim,Sim,Não,Sim,Anual,Sim,Cartão de crédito (automático),3.15,94.45,5042.75
9640-HXEAM,,Masculino,Não,Não,Não,2,Não,Sem serviço telefônico,DSL,Não,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cartão de crédito (automático),1.35,40.4,77.15
9646-QWDSB,,Feminino,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Não,Sim,Bianual,Não,Cheque eletrônico,3.35,100.45,7159.7
9659-UDJIJ,,Feminino,Não,Sim,Não,67,Sim,Sim,DSL,Sim,Sim,Sim,Não,Não,Não,Bianual,Não,Cheque por correio,2.19,65.65,4322.85
9683-PSOSX,,Feminino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque por correio,0.65,19.55,19.55
9708-TKNTZ,,Feminino,Não,Sim,Sim,6,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cheque por correio,0.66,19.7,94.45
9717-WXVSB,,Masculino,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque por correio,0.63,18.9,18.9
9722-ZVQUQ,,Feminino,Não,Sim,Sim,14,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Transferência bancária (automâtico),2.7,80.9,1152.8
9724-BFUOP,,Feminino,Não,Não,Não,8,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),2.49,74.6,548.9
9825-GXXPV,,Masculino,Não,Sim,Sim,59,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Não,Cheque por correio,0.65,19.5,1147.85
9839-SEMQN,,Masculino,Não,Sim,Sim,5,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,Cartão de crédito (automático),2.15,64.4,316.9
9840-GSRFX,,Feminino,Não,Não,Não,14,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Não,Anual,Sim,Cheque por correio,1.81,54.25,773.2
9872-RZQQB,,Feminino,Não,Sim,Não,49,Não,Sem serviço telefônico,DSL,Sim,Não,Não,Não,Sim,Não,Mensal,Não,Transferência bancária (automâtico),1.36,40.65,2070.75
9920-GNDMB,,Masculino,Não,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,2.54,76.25,684.85
9955-RVWSC,,Feminino,Não,Sim,Sim,67,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bianual,Sim,Transferência bancária (automâtico),0.64,19.25,1372.9
9966-VYRTZ,,Feminino,Não,Sim,Sim,31,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque por correio,0.65,19.55,658.95
